SCIENTIFIC_NAME_tree,TipLabel,COMMON_NAME_tree,Taxonomy,Clade,BLFamilyLatin,BLFamilyEnglish,FamSequID,Order,OscSubOsc,matched
Otus podarginus,Otus_podarginus,Palau Scops-owl,BL3,Strigidae,Strigidae,Owls,71,STRIGIFORMES,NONPASSERIFORMES,No
Otus siaoensis,Otus_siaoensis,Siau Scops-owl,BL3,Strigidae,Strigidae,Owls,71,STRIGIFORMES,NONPASSERIFORMES,No
Bubo magellanicus,Bubo_magellanicus,Lesser Horned Owl,IOC27,Strigidae,Strigidae,Owls,71,STRIGIFORMES,NONPASSERIFORMES,No
Glaucidium californicum,Glaucidium_californicum,Northern Pygmy Owl,IOC27,Strigidae,Strigidae,Owls,71,STRIGIFORMES,NONPASSERIFORMES,No
Megascops colombianus,Megascops_colombianus,Colombian Screech-owl,BL3,Strigidae,Strigidae,Owls,71,STRIGIFORMES,NONPASSERIFORMES,No
Glaucidium nanum,Glaucidium_nanum,Austral Pygmy-owl,BL3,Strigidae,Strigidae,Owls,71,STRIGIFORMES,NONPASSERIFORMES,No
Mimizuku gurneyi,Mimizuku_gurneyi,Giant Scops-owl,BL3,Strigidae,Strigidae,Owls,71,STRIGIFORMES,NONPASSERIFORMES,No
Batrachostomus mixtus,Batrachostomus_mixtus,Bornean Frogmouth,BL3,Podargidae,Podargidae,Frogmouths,72,CAPRIMULGIFORMES,NONPASSERIFORMES,No
Caprimulgus vociferus,Caprimulgus_vociferus,Whip-poor-will,BL3,Caprimulgidae,Caprimulgidae,Nightjars,75,CAPRIMULGIFORMES,NONPASSERIFORMES,No
Caprimulgus ekmani,Caprimulgus_ekmani,Hispaniola Nightjar,BL3,Caprimulgidae,Caprimulgidae,Nightjars,75,CAPRIMULGIFORMES,NONPASSERIFORMES,No
Caprimulgus cubanensis,Caprimulgus_cubanensis,Cuban Nightjar,BL3,Caprimulgidae,Caprimulgidae,Nightjars,75,CAPRIMULGIFORMES,NONPASSERIFORMES,No
Eurostopodus temminckii,Eurostopodus_temminckii,Malaysian Eared-nightjar,BL3,Caprimulgidae,Caprimulgidae,Nightjars,75,CAPRIMULGIFORMES,NONPASSERIFORMES,No
Eurostopodus macrotis,Eurostopodus_macrotis,Great Eared-nightjar,BL3,Caprimulgidae,Caprimulgidae,Nightjars,75,CAPRIMULGIFORMES,NONPASSERIFORMES,No
Apus toulsoni,Apus_toulsoni,Loanda Swift,BL3,Apodidae,Apodidae,Swifts,77,APODIFORMES,NONPASSERIFORMES,No
Apus sladeniae,Apus_sladeniae,Fernando Po Swift,BL3,Apodidae,Apodidae,Swifts,77,APODIFORMES,NONPASSERIFORMES,No
Collocalia fuciphaga,Collocalia_fuciphaga,Edible-nest Swiftlet,BL3,Apodidae,Apodidae,Swifts,77,APODIFORMES,NONPASSERIFORMES,No
Collocalia germani,Collocalia_germani,German's Swiftlet,BL3,Apodidae,Apodidae,Swifts,77,APODIFORMES,NONPASSERIFORMES,No
Collocalia infuscata,Collocalia_infuscata,Moluccan Swiftlet,BL3,Apodidae,Apodidae,Swifts,77,APODIFORMES,NONPASSERIFORMES,No
Collocalia inquieta,Collocalia_inquieta,Micronesian Swiftlet,BL3,Apodidae,Apodidae,Swifts,77,APODIFORMES,NONPASSERIFORMES,No
Collocalia leucophaea,Collocalia_leucophaea,Tahiti Swiftlet,BL3,Apodidae,Apodidae,Swifts,77,APODIFORMES,NONPASSERIFORMES,No
Collocalia rogersi,Collocalia_rogersi,Indochinese Swiftlet,BL3,Apodidae,Apodidae,Swifts,77,APODIFORMES,NONPASSERIFORMES,No
Collocalia papuensis,Collocalia_papuensis,Papuan Swiftlet,BL3,Apodidae,Apodidae,Swifts,77,APODIFORMES,NONPASSERIFORMES,No
Collocalia palawanensis,Collocalia_palawanensis,Palawan Swiftlet,BL3,Apodidae,Apodidae,Swifts,77,APODIFORMES,NONPASSERIFORMES,No
Collocalia amelis,Collocalia_amelis,Grey Swiftlet,BL3,Apodidae,Apodidae,Swifts,77,APODIFORMES,NONPASSERIFORMES,No
Collocalia bartschi,Collocalia_bartschi,Guam Swiftlet,BL3,Apodidae,Apodidae,Swifts,77,APODIFORMES,NONPASSERIFORMES,No
Thalurania fannyi,Thalurania_fannyi,Green-crowned Woodnymph,BL3,Trochilidae,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,No
Trochilus scitulus,Trochilus_scitulus,Black-billed Streamertail,BL3,Trochilidae,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,No
Ceyx lecontei,Ceyx_lecontei,African Dwarf-kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,No
Ceyx madagascariensis,Ceyx_madagascariensis,Madagascar Pygmy-kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,No
Ceyx pictus,Ceyx_pictus,African Pygmy-kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,No
Alcedo vintsioides,Alcedo_vintsioides,Madagascar Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,No
Alcedo argentata,Alcedo_argentata,Silvery Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,No
Tockus nasutus,Tockus_nasutus,African Grey Hornbill,BL3,Bucerotidae,Bucerotidae,Hornbills,91,BUCEROTIFORMES,NONPASSERIFORMES,No
Aceros plicatus,Aceros_plicatus,Papuan Hornbill,BL3,Bucerotidae,Bucerotidae,Hornbills,91,BUCEROTIFORMES,NONPASSERIFORMES,No
Aceros waldeni,Aceros_waldeni,Rufous-headed Hornbill,BL3,Bucerotidae,Bucerotidae,Hornbills,91,BUCEROTIFORMES,NONPASSERIFORMES,No
Bucorvus cafer,Bucorvus_cafer,Southern Ground-hornbill,BL3,Bucerotidae,Bucorvidae,Ground-hornbills,92,BUCEROTIFORMES,NONPASSERIFORMES,No
