SCIENTIFIC_NAME,Order,Family,brain_size_mm3,body_mass_g,brain_residual,migration_status,diet_breadth,development_mode,development_time_days
Psittacula_cyanocephala,PSITTACIFORMES,Psittacidae,2.68,65,0.937665693,Resident,0.166031996,altricial,66
Psittacula_derbiana,PSITTACIFORMES,Psittacidae,6.1,251,1.002468169,Resident,0.135863802,altricial,NA
Psittacula_eupatria,PSITTACIFORMES,Psittacidae,5.54,214,0.995607598,Resident,0.166031996,altricial,73.5
Psittacula_krameri,PSITTACIFORMES,Psittacidae,3.9,116.5,0.985599916,Resident,0.169333175,altricial,72
Psittacula_longicauda,PSITTACIFORMES,Psittacidae,3.75,107,0.994081707,Resident,0.135863802,altricial,NA
Psittaculirostris_edwardsii,PSITTACIFORMES,Psittacidae,3.25,90.7,0.943664114,Resident,0,altricial,75
Psittacus_erithacus,PSITTACIFORMES,Psittacidae,9.18,405.5,1.14221171,Resident,0.169333175,altricial,109.5
Psitteuteles_versicolor,PSITTACIFORMES,Psittacidae,2,53.5,0.754185818,Resident,0,altricial,62.5
Psittrichas_fulgidus,PSITTACIFORMES,Psittacidae,7.8,745,0.638197814,Resident,0.056610197,altricial,NA
Psophia_crepitans,GRUIFORMES,Psophiidae,5.85,1026,0.171039903,Resident,NA,precocial,NA
Psophodes_cristatus,PASSERIFORMES (PASSERIDA),Eupetidae,1.4,40.75,0.550173473,Resident,0.17491013,altricial,NA
Psophodes_occidentalis,PASSERIFORMES (PASSERIDA),Eupetidae,1.33,39.8,0.512108707,Resident,0.17491013,altricial,NA
Psophodes_olivaceus,PASSERIFORMES (PASSERIDA),Eupetidae,2.18,62.73,0.751108582,Resident,0.147670368,altricial,29
Pteridophora_alberti,PASSERIFORMES (CORVIDA),Paradisaeidae,2.4,82,0.697027261,Resident,0.071259387,altricial,NA
Pterocles_bicinctus,PTEROCLIDIFORMES,Pteroclididae,1.51,233.5,-0.353181887,Resident,0,precocial,NA
Pterocles_decoratus,PTEROCLIDIFORMES,Pteroclididae,1.31,183.75,-0.360894831,Resident,NA,precocial,NA
Pterodroma_lessonii,PROCELLARIIFORMES,Procellariidae,5.87,698,0.390472919,Migrant,0.014161996,precocial,162
Pterodroma_leucoptera,PROCELLARIIFORMES,Procellariidae,2.48,136,0.44609142,Migrant,0.012588441,precocial,126
Pterodroma_macroptera,PROCELLARIIFORMES,Procellariidae,4.88,532.5,0.357534661,Migrant,0.014161996,precocial,181.5
Pteroglossus_aracari,PICIFORMES,Ramphastidae,3.48,261,0.41930289,Resident,NA,altricial,56.5
Pteroglossus_bailloni,PICIFORMES,Ramphastidae,2.94,146,0.576453135,Resident,0.067446356,altricial,NA
Pteroglossus_castanotis,PICIFORMES,Ramphastidae,3.77,258.5,0.504743079,Resident,0.101537354,altricial,NA
Pteroglossus_inscriptus,PICIFORMES,Ramphastidae,2.5,131,0.475129568,Resident,NA,altricial,NA
Pteroglossus_torquatus,PICIFORMES,Ramphastidae,3.5,278,0.389647068,Resident,0.064947975,altricial,60
Pteronetta_hartlaubii,ANSERIFORMES,Anatidae,5.73,790,0.296899757,Resident,NA,precocial,87.5
Pteruthius_flaviscapis,PASSERIFORMES (PASSERIDA),Timaliidae,1.5,40,0.62958387,Resident,0.073084121,altricial,NA
Ptilinopus_dupetithouarsii,COLUMBIFORMES,Columbidae,1.1,100,-0.19442139,Resident,0,altricial,NA
Ptilinopus_hyogastrus,COLUMBIFORMES,Columbidae,1.6,149,-0.04335919,Resident,0,altricial,NA
Ptilinopus_insularis,COLUMBIFORMES,Columbidae,1.07,100,-0.222072921,Resident,0,altricial,NA
Ptilinopus_iozonus,COLUMBIFORMES,Columbidae,1.45,114,0.008352125,Resident,0,altricial,NA
Ptilinopus_jambu,COLUMBIFORMES,Columbidae,1.3,135,-0.195664156,Resident,NA,altricial,NA
Ptilinopus_leclancheri,COLUMBIFORMES,Columbidae,1.55,164,-0.128899316,Resident,0,altricial,NA
