Binomial,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,Beak_PC1,Beak_PC2,Beak_PC3,Beak_PC4,Realm,TrophicLevel,TrophicNiche,ForagingNiche,
Nectarinia_minima,-3.026891316,-0.394290774,0.422011966,-0.16755125,0.157403934,0.224682769,0.135378448,0.128193963,-0.047237394,-1.221903979,0.573186493,0.142772814,0.121412145,Indo_Malay,Omnivore,Nectarivore,Nectarivore glean,
Nectarinia_minulla,-2.803053957,-0.539162483,0.533835725,-0.194062304,0.196110495,0.165375008,0.047199962,0.113584756,-0.080972593,-1.012509327,0.700603899,0.051623694,0.158643181,Afrotropic,Omnivore,Nectarivore,Nectarivore glean,
Nectarinia_moreaui,-2.163194016,-0.681580612,0.486420215,-0.269881429,0.263270127,0.152741004,0.100337056,0.114738811,-0.047573838,-0.58092403,0.753711686,0.097286209,0.126126207,Afrotropic,Omnivore,Omnivore,NA,
Nectarinia_nectarinioides,-2.700224596,-0.547687365,0.064197269,-0.453453348,0.316955204,0.069881914,0.022093919,0.048621777,-0.063227421,-0.92010858,0.575935213,0.019961495,0.154364387,Afrotropic,Omnivore,Nectarivore,Nectarivore glean,
Nectarinia_neergardi,-2.594689617,-0.436341533,0.310107332,-0.13310567,0.305761642,0.213480317,0.152087254,0.064912533,-0.139374105,-0.941325291,0.477617122,0.158863367,0.209983554,Afrotropic,Omnivore,Omnivore,NA,
Nectarinia_newtonii,-2.489785233,-0.400681676,0.285982295,-0.267384106,0.335822481,0.103271081,0.153342952,-0.015860411,-0.076341106,-0.927830972,0.532930532,0.147251998,0.122991502,Afrotropic,Omnivore,Omnivore,NA,
Nectarinia_notata,-1.251551293,-0.965714997,0.417265471,-0.376489444,0.188676091,0.053754388,0.062129097,0.124818461,-0.004978829,0.075774284,0.852403812,0.058824867,0.100208128,Madagascar,Omnivore,Omnivore,NA,
Nectarinia_olivacea,-1.776153805,-0.776570454,0.227256498,-0.452958771,0.180065113,0.110448132,0.143696999,0.12179489,-0.031324046,-0.326329761,0.739331346,0.148023514,0.12303606,Afrotropic,Omnivore,Omnivore,NA,
Nectarinia_oritis,-1.702629415,-0.814091695,0.547681446,-0.363960903,0.271211784,0.106560125,0.057905029,0.120032346,-0.030337298,-0.273268065,0.889619998,0.050065852,0.108939207,Afrotropic,Herbivore,Nectarivore,Generalist,
Nectarinia_osea,-2.377780413,-0.572610482,0.374346614,-0.284428175,0.193740358,0.133338107,0.074822064,0.132338189,-0.027097549,-0.770575101,0.665700967,0.074116385,0.106901863,Afrotropic,Herbivore,Nectarivore,Nectarivore glean,
Nectarinia_oustaleti,-2.0804133,-0.523380054,0.41337673,-0.225175265,0.141943065,0.046768713,0.024543104,0.116540817,-0.027404433,-0.667424196,0.627380741,0.020270624,0.089853052,Afrotropic,Omnivore,Nectarivore,Nectarivore glean,
Nectarinia_pembae,-2.210952543,-0.369896415,0.478563806,-0.118526493,0.132314572,0.080895426,0.113186217,0.116595571,-0.064284753,-0.849787761,0.552701157,0.110436723,0.103217021,Afrotropic,Omnivore,Omnivore,NA,
Nectarinia_preussi,-2.292152549,-0.605332954,0.291570143,-0.337929532,0.342572276,0.172044758,0.147039783,0.035259419,-0.021536259,-0.674466419,0.646987885,0.142409731,0.099694589,Afrotropic,Herbivore,Nectarivore,Nectarivore glean,
Nectarinia_pulchella,-2.282103141,-0.432093184,-0.078848862,-0.582163302,0.119185175,-0.150308205,0.11971538,0.018993572,-0.065888356,-0.845108234,0.532211571,0.116810866,0.110194257,Afrotropic,Herbivore,Nectarivore,Nectarivore glean,
Nectarinia_purpureiventris,-1.667828032,-0.424870628,-0.043081353,-0.783181702,0.055205434,-0.306049397,0.226425025,0.032003433,-0.121325785,-0.61341781,0.687736563,0.217874421,0.117066763,Afrotropic,Omnivore,Nectarivore,Nectarivore glean,
Nectarinia_regia,-2.408739752,-0.527245445,0.276893036,-0.433913052,0.273293558,0.073082105,0.116225235,0.056910882,-0.050062805,-0.826025095,0.687765365,0.110505814,0.111280881,Afrotropic,Omnivore,Nectarivore,Nectarivore glean,
Nectarinia_reichenbachii,-1.891590648,-0.295352083,0.319769848,-0.330232184,0.187841964,0.001031172,0.111105977,0.077025038,-0.137983946,-0.774022325,0.570082769,0.106913612,0.154357687,Afrotropic,Omnivore,Nectarivore,Nectarivore glean,
Nectarinia_reichenowi,-1.136569537,-0.73320924,0.010678227,-0.890073322,0.085159278,-0.16039869,0.10281886,0.123186567,-0.055970637,-0.124739292,0.88580207,0.098964724,0.10787196,Afrotropic,Herbivore,Nectarivore,Nectarivore glean,
Nectarinia_rockefelleri,-2.481792576,-0.654728277,0.269090763,-0.641666063,0.394473508,0.230886529,-0.113727857,0.104222062,0.007904514,-0.775640226,0.868636409,-0.118295786,0.106919975,Afrotropic,Omnivore,Omnivore,NA,
Nectarinia_rubescens,-1.905466331,-0.529006812,0.365897825,-0.37401356,0.118349706,0.166696486,0.148664773,0.144705966,-0.038179199,-0.606319762,0.7041883,0.154827577,0.10226546,Afrotropic,Omnivore,Omnivore,NA,
Nectarinia_rufipennis,-2.048792695,-0.638390916,0.405170643,-0.12054712,0.337186314,0.156494898,-0.001178589,0.046745504,-0.028064321,-0.504652675,0.572810764,-0.007238836,0.116604896,Afrotropic,Herbivore,Nectarivore,Nectarivore glean,
Nectarinia_seimundi,-2.554499722,-0.39508042,0.395096137,-0.136891698,0.246401809,0.280529607,0.105537693,0.105698088,-0.016525237,-0.965650118,0.522059667,0.108341121,0.093779804,Afrotropic,Herbivore,Omnivore,NA,
Nectarinia_senegalensis,-1.749235045,-0.593460881,0.481266621,-0.355988433,0.076904344,0.079986412,0.142448725,0.152000572,-0.045677591,-0.497134614,0.782796343,0.144364909,0.097559229,Afrotropic,Omnivore,Omnivore,NA,
Nectarinia_shelleyi,-2.089471486,-0.532386819,0.363473693,-0.367097234,0.136554038,0.132908297,0.059863656,0.118630913,-0.035523188,-0.686951172,0.698337651,0.064321378,0.106459204,Afrotropic,Omnivore,Omnivore,NA,
Nectarinia_solaris,-2.010714586,-0.678614137,0.374662731,-0.07810296,0.180345703,0.03883929,0.041599072,0.089201885,-0.041657477,-0.46669893,0.541507873,0.038992726,0.124107326,Australian,Omnivore,Nectarivore,Nectarivore glean,
Nectarinia_sovimanga,-2.235274395,-0.777743425,0.316467354,-0.192273434,0.261957555,0.124009301,0.08009715,0.083400741,-0.048266978,-0.497137839,0.617081634,0.081468021,0.152191961,Madagascar,Omnivore,Nectarivore,Nectarivore glean,
Nectarinia_sperata,-2.727088834,-0.487026015,0.455096669,-0.040656421,0.051255773,0.193802925,0.109986565,0.11723468,-0.100339139,-1.000340546,0.527795491,0.129137306,0.181646547,Indo_Malay,Omnivore,Omnivore,NA,
Nectarinia_stuhlmanni,-1.82280808,-0.799194932,0.267774799,-0.669483852,0.347901865,0.116141059,0.114277677,0.088529364,-0.022870721,-0.351920857,0.919670365,0.106761381,0.107224639,Afrotropic,Omnivore,Nectarivore,Nectarivore glean,
Nectarinia_superba,-1.038815391,-1.005105458,0.598907045,-0.450906432,0.274797182,0.157992117,0.157442598,0.103806841,-0.01041417,0.184801134,1.025790913,0.152789667,0.091870059,Afrotropic,Herbivore,Omnivore,NA,
Nectarinia_tacazze,-1.148071087,-0.782103068,0.201631675,-0.807024083,0.151511761,-0.043353694,0.182107088,0.125857325,-0.07271168,-0.092194994,0.964531649,0.179693713,0.123564832,Afrotropic,Herbivore,Nectarivore,Nectarivore glean,
Nectarinia_talatala,-2.126086509,-0.731775011,0.482575466,-0.382280487,0.289830273,0.125777538,0.209886913,0.075584669,-0.048013464,-0.537344464,0.840513732,0.204309788,0.113131394,Afrotropic,Omnivore,Nectarivore,Generalist,
